date,province_name,net_profit_all,net_profit_foreign,net_profit_thai,no_tourist_all,no_tourist_foreign,no_tourist_occupied,no_tourist_thai,region_eng_central,region_eng_east,region_eng_east_northeast,region_eng_north,region_eng_south
2022-09-01,Lamphun ,-0.45126046860445185,0.6760400811923198,-0.46248057936957526,0.02385685407250427,0.8931212662270264,-0.8446245259237836,0.031106077734105692,0.0,0.0,0.0,1.0,0.0
2022-09-01,Loei ,0.4655095777698064,0.4231965679382764,0.4951119439174655,0.6199641721324165,0.3101334349274067,1.0573418555570713,0.6452777722843736,0.0,0.0,1.0,0.0,0.0
2022-09-01,Lopburi ,0.7553746949816241,-0.32984964409960954,0.8019106722918089,1.7753366197160898,-0.026851408413146455,0.26738622421607827,1.7756656803391975,1.0,0.0,0.0,0.0,0.0
2022-09-01,Maha Sarakham ,-0.9358790513766293,0.2539043337804357,-0.9282019626214073,-0.6214975661500907,0.24960917545035619,-0.5790214603561675,-0.5916296012889313,0.0,0.0,1.0,0.0,0.0
2022-09-01,Nakhon Nayok ,0.48148931506912973,-0.5158455562522691,0.5224158464236487,0.4355505641501313,-0.6316163712622412,0.976881712866291,0.471094904271176,0.0,1.0,0.0,0.0,0.0
2022-09-01,Nakhon Pathom ,0.8175319459375839,0.5338305385226259,0.8549507078348564,1.7869372992643846,0.6057625444681026,1.0943128894755663,1.7809723147621777,1.0,0.0,0.0,0.0,0.0
2022-09-01,Nakhon Sawan ,0.6741160229840161,0.2720798599602933,0.7128108135033125,0.5791165276874681,0.15080051230461605,0.7395042294174241,0.607260216370701,0.0,0.0,0.0,1.0,0.0
2022-09-01,Nakhon Si Thammarat ,1.1195205863353197,0.20627622953935418,1.1729295369428079,0.9635644518780804,0.14629091734648164,1.5693700829051909,0.9846065644116235,0.0,0.0,0.0,0.0,1.0
2022-09-01,Nan ,0.2673554342810822,0.5872384486545021,0.2855164936729007,0.17696130873419408,0.2703554667931829,0.7374794229464885,0.20797465762821832,0.0,0.0,0.0,1.0,0.0
2022-09-01,Narathiwat ,-0.6246427064808878,1.566942860549382,-1.0176809655092505,-0.7483681757572844,1.7351798514573356,-0.5278050751218509,-1.0403078650519015,0.0,0.0,0.0,0.0,1.0
2022-09-01,Nong Bua Lamphu ,-1.6893157235685556,-1.4866099268997095,-1.6370277661805692,-1.2594960862909836,-1.1431549376942283,-1.5313887292504453,-1.219820369927327,0.0,0.0,1.0,0.0,0.0
2022-09-01,Nonthaburi ,0.5846285299913045,1.0467380782304871,0.5843424678045263,1.3799691740419078,1.512101421260307,0.5531165801273444,1.338839467740013,1.0,0.0,0.0,0.0,0.0
2022-09-01,Pathum Thani ,-0.053095046035540244,0.4836823619510858,-0.03919869060139132,0.4675577395557137,0.9171093565575449,-0.6071851541679507,0.47541556429835485,1.0,0.0,0.0,0.0,0.0
2022-09-01,Pattani ,-1.0431682889476142,-0.1132772738936453,-1.020161514068952,-1.1627188165396476,0.8091075649133759,-0.9585621017258658,-1.1961034249355804,0.0,0.0,0.0,0.0,1.0
2022-09-01,Phang Nga ,0.9012642925732535,2.3426691473013896,0.12864887185527052,0.10967737222058425,2.1365535117597334,-0.014925356948489102,-0.2434133460598545,0.0,0.0,0.0,0.0,1.0
2022-09-01,Phatthalung ,-0.8862008995107731,-1.0653069124521688,-0.8522133667372862,-0.4653307952513582,-0.18592396688723264,-0.30886055372758964,-0.425587342587808,0.0,0.0,0.0,0.0,1.0
2022-09-01,Phayao ,-0.2226160783624472,0.9447764754823379,-0.25455543047966117,-0.21423930688068918,1.046680233724732,-0.19510388919285662,-0.22502176625088055,0.0,0.0,0.0,1.0,0.0
2022-09-01,Phetchabun ,1.2390797804632114,0.9813535646287611,1.27556544147836,0.8860802499607973,0.9717645614408708,1.8565161375024681,0.8886116312468999,0.0,0.0,0.0,1.0,0.0
2022-09-01,Phichit ,-0.574365812636076,-0.9048192935567292,-0.5426322654931169,-0.4177050273961912,-0.9333338537165597,-0.41741288170365537,-0.3731291146728423,0.0,0.0,0.0,1.0,0.0
2022-09-01,Phitsanulok ,1.1035144260476417,1.1139447698500744,1.1241365165291466,1.0397240262533076,1.2167479175800306,1.4570167377222605,1.02644958568199,0.0,0.0,0.0,1.0,0.0
2022-09-01,Phrae ,0.17108613275046883,0.04492337535441852,0.20157221525713223,0.1839345642466567,0.07364711587789814,-0.019505245916313852,0.21798246411335806,0.0,0.0,0.0,1.0,0.0
2022-09-01,Prachinburi ,0.19896240798842924,-0.3513728722769088,0.23388407193517066,-0.08196952978321664,-0.6126887298525683,0.27224755078069723,-0.04023830389201969,0.0,1.0,0.0,0.0,0.0
